,ID,Created,Text
70,1319206679146278912,Thu Oct 22 09:19:16 +0000 2020,"RT @alraigah: لعبة الموسم✈️ محاكي الطيران العجيب

سافر لأي دولة وأنت تقود الطائرة بشكل احترافي لا يُصدق

لعبة Microsoft flight simulator 20…"
71,1319206659487526913,Thu Oct 22 09:19:11 +0000 2020,RT @SaziumR: 【重要】2021年初頭より段階的にMinecraft: Java Editionのアカウントは2段階認証などのセキュリティを含むMicrosoftアカウントに強制的に移行されます。移行しない場合はプレイができなくなります。移行すると、特別なマントが貰え…
72,1319206654303367170,Thu Oct 22 09:19:10 +0000 2020,"RT @MSHelpsJP: Microsoft アカウントに紐付けているセキュリティ情報のメールアドレス ✉ または電話番号 📱 を変更した場合:
➕ 新しい情報をアカウントに追加します。
➖ 古い情報を書き換えないでください。まず、古い情報を使用して身分確認をします。
詳細…"
73,1319206653061988354,Thu Oct 22 09:19:10 +0000 2020,"RT @FawfulsMinion: I'm IN LOVE with all the cool shit Microsoft is doing for next gen.

+selling great tech for epic prices
+back compat
+m…"
74,1319206632316874753,Thu Oct 22 09:19:05 +0000 2020,"RT @DukeSlothTV: If Microsoft follows Sony's example and releases a BLM Xbox theme, racist Gamers will have to face their worst nightmare:…"
75,1319206631419281408,Thu Oct 22 09:19:05 +0000 2020,"RT @ovibarcelo: 📽️MEET NOW! in @MicrosoftEdge
 
If you are logged in with your Microsoft account, you can have a @Skype call right from the…"
76,1319206625626984448,Thu Oct 22 09:19:03 +0000 2020,@Benjami47030523 @kinlochlkl @Vago_01 @MrSanickES Necesita comenzar de alguna manera. Eso en tu cuarta generación d… https://t.co/spG5VefX2R
77,1319206625320681472,Thu Oct 22 09:19:03 +0000 2020,RT @genius_1237to: 勿論、今後Microsoftがどういう方針でいくか次第では変わってきますし、Microsoft自体がMODや外部ツールの価値をあんまり理解してなさそうなのは(将来数年レベルの期間では)不安要素ではありますが…🤔
78,1319206622204514308,Thu Oct 22 09:19:03 +0000 2020,RT @dougvista: Microsoft Teams iOS app updated with natural language search support and more...   #appupdate #apple #apps #microsoft #slide…
79,1319206612100317186,Thu Oct 22 09:19:00 +0000 2020,RT @cmilanf: Un año más @AvanadeSpain patrocina el @sps_madrid y regalamos 3 vouchers para presentarse a exámenes de certificación Microsof…
80,1319206608606384128,Thu Oct 22 09:18:59 +0000 2020,"RT @genius_1237to: Microsoftアカウントへの完全移行に絡んで、将来的にMODや外部ツールが使用できなくなる(それらに対応した旧バージョンで遊ぶこと含めて)懸念が広がってますね…
ただ現状では情報少ないですし、Java版の開発が停止しても旧バージョンまで…"
81,1319206608409247745,Thu Oct 22 09:18:59 +0000 2020,"RT @MissVPR_Borneo: Let's learn Microsoft excel shortcuts that you should know, your friend should know &amp; anyone who work with excel should…"
82,1319206606559678465,Thu Oct 22 09:18:59 +0000 2020,"Microsoft Surface Pro X – Ordenador Portátil de 13″, Wifi + LTE, Microsoft SQ1, 8 GB RAM, 128 GB SSD, Windows 10, N… https://t.co/zNRcWiqagm"
83,1319206605343391744,Thu Oct 22 09:18:59 +0000 2020,RT @dougvista: Microsoft Teams iOS app updated with natural language search support and more...   #appupdate #apple #apps #microsoft #slide…
84,1319206604571660290,Thu Oct 22 09:18:58 +0000 2020,"RT @Excel4UsJo: كيفية استخدام View side by Side in Excel 
طريقة مهمه في إتسعراض الملفات و عملية التتبع لها
https://t.co/cd3bbFg6vc

#Excel…"
85,1319206600792592384,Thu Oct 22 09:18:57 +0000 2020,"Ухх, тут мне есть что сказать. Сразу извиняюсь. Песня ужасная, вот вообще не понравилась ВООБЩЕ. Клип ещё хуже. Так… https://t.co/DDE234KJ6N"
86,1319206591539912706,Thu Oct 22 09:18:55 +0000 2020,"RT @nordicinst: Artificial Intelligence As a Service Market May Set new Growth Story | IBM, Microsoft, Intel, Baidu .... #bigdata #AI #Mach…"
87,1319206584988405762,Thu Oct 22 09:18:54 +0000 2020,"كيفية استخدام View side by Side in Excel 
طريقة مهمه في إتسعراض الملفات و عملية التتبع لها
https://t.co/cd3bbFg6vc… https://t.co/4JmoxdAVcs"
88,1319206577317072897,Thu Oct 22 09:18:52 +0000 2020,@DMC_Ryan I'd agree there isn't a system seller by Microsoft. I mean for me it's simply the console making it a Day… https://t.co/ZoCwFbhhGA
89,1319206566940143616,Thu Oct 22 09:18:49 +0000 2020,"RT @minecraftjapan: Java版MinecraftはMojangアカウントからMicrosoftアカウントに移行する予定です

セキュリティが強化され、
Minecraft Dungeonsも同じアカウントでプレイできるようになるなど、利点は様々！

ステキな…"
90,1319206557746294784,Thu Oct 22 09:18:47 +0000 2020,@isura Reminds me of Microsoft Anti trust case at the start of the millennium. Then Google was promoting ‘Don’t be… https://t.co/hpd38UXyC3
91,1319206553761742848,Thu Oct 22 09:18:46 +0000 2020,Microsoft Teams iOS app updated with natural language search support and more...   #appupdate #apple #apps… https://t.co/2Nl2Y7wgM3
92,1319206551815684101,Thu Oct 22 09:18:46 +0000 2020,"Java版マインクラフトを遊ぶには「Microsoftアカウントが必須」となる変更が発表される - GIGAZINE https://t.co/9lwdgkEEy4
ただでは使わせん！お前の個人情報と引き換えじゃあ〜と言っていたとか何とか。
都市伝説です😛"
93,1319206544878243842,Thu Oct 22 09:18:44 +0000 2020,falling asleep on microsoft teams... its so tempting
94,1319206544488173568,Thu Oct 22 09:18:44 +0000 2020,RT @engadget: Microsoft partners with SpaceX on a cloud computing business for space https://t.co/gjyd9JlEiS https://t.co/rvMWez6K5j
95,1319206533293510657,Thu Oct 22 09:18:41 +0000 2020,RT @UJunami: cara cepat dan simpel merapikan tulisan di microsoft word biar tidak perlu tarik-tarik rules https://t.co/AvPXk6O7zV
96,1319206523973849088,Thu Oct 22 09:18:39 +0000 2020,@CJSeedge @GIBiz @ZhugeEX Not really. It helps them maintain security when every account is in-house. On the other… https://t.co/IAxg4kGANl
97,1319206517279686656,Thu Oct 22 09:18:38 +0000 2020,"RT @AP_CorpComm: .@AP to power election results for Google, Amazon, Microsoft, AT&amp;T, via @Axios: https://t.co/qNDfZQcAtA"
98,1319206509851545602,Thu Oct 22 09:18:36 +0000 2020,"RT @minecraftjapan: Java版MinecraftはMojangアカウントからMicrosoftアカウントに移行する予定です

セキュリティが強化され、
Minecraft Dungeonsも同じアカウントでプレイできるようになるなど、利点は様々！

ステキな…"
99,1319207272371740672,Thu Oct 22 09:21:38 +0000 2020,"RT @minecraftjapan: Java版MinecraftはMojangアカウントからMicrosoftアカウントに移行する予定です

セキュリティが強化され、
Minecraft Dungeonsも同じアカウントでプレイできるようになるなど、利点は様々！

ステキな…"
100,1319207264004300800,Thu Oct 22 09:21:36 +0000 2020,"RT @pmcgrup: Entra, conecta y trabaja ✔️ Así de fácil te resultará trabajar con el nuevo Monitor Interactivo 4K. Es el primer y único del m…"
