,created_at,id,text,language
63,Sun May 02 23:59:12 +0000 2021,1.3890065895965532e+18,"RT @heyxxcutie: Look at the size of this monster dildo... it felt so good! Loved every inch of it. New video on my onlyfans 
https://t.co/p…",en
64,Sun May 02 23:59:07 +0000 2021,1.3890065703783875e+18,Now Playing! Money Talks by #ACDC Listen Live at https://t.co/KgDuz5xICO Buy this song here :… https://t.co/e7MbWuWEzm,en
65,Sun May 02 23:59:06 +0000 2021,1.3890065669306614e+18,"RT @StealsandDeals: ad: Funko Pop! Disney: Cruella

Cruella in Black Dress https://t.co/j3VM2MoSbb

Cruella in Red Dress https://t.co/rTMWw…",en
66,Sun May 02 23:59:04 +0000 2021,1.3890065567971e+18,"RT @FatKidDeals: ⚡Lightning Deal ⚡

Bread Slippers for $19.54, 15% off!

https://t.co/aSyGxhNIYx https://t.co/lSs8UPk6GA",en
67,Sun May 02 23:59:02 +0000 2021,1.3890065473811005e+18,@ThiccZelda @ArmedHippyhodl2 @SammiSueWinters I completely understand local restrictions. I don't shotguns are bad… https://t.co/y24ieXMpXT,en
68,Sun May 02 23:59:01 +0000 2021,1.38900654616465e+18,"RT @FatKidDeals: ⚡Lightning Deal ⚡

Bread Slippers for $19.54, 15% off!

https://t.co/aSyGxhNIYx https://t.co/lSs8UPk6GA",en
69,Sun May 02 23:59:01 +0000 2021,1.3890065450658488e+18,"RT @Nintendeal: Monster Hunter Chibi Plush pre-orders

Amazon: https://t.co/s5iTGrQyAY #ad $34.99
Play-Asia: https://t.co/KU7Qymonxi $22.79…",en
70,Sun May 02 23:59:00 +0000 2021,1.389006540535894e+18,"STEAL!!

2 pack of LED Video/Photo Lighting Kit, $22.43!!

Save 56% with promo code 56FDUL421… https://t.co/0YWL2wBPXz",en
71,Sun May 02 23:58:55 +0000 2021,1.3890065197154345e+18,"RT @AnastaxiaDomina: My Mexican slaves!
Goddess needs cheering up 

https://t.co/ThG4kztAKu https://t.co/IxqVuQSxQD",en
72,Sun May 02 23:58:55 +0000 2021,1.3890065186624922e+18,"Amazonにてairpods max シルバーが販売中です🦊
商品ページ：https://t.co/AuS3ErW2sh
Monitored at:(08:58:55)",en
