,Unnamed: 0,Unnamed: 0.1,index,created_at,id,text,language,shingleSet,signature,builtModel_sentiment,vader_score
39,39,41,41.0,Mon May 03 23:58:13 +0000 2021,1.3893687315125412e+18,What makes a place   Haunted   Award winning book by Kitty Janusz  Now on Amazon  amp  Kindle  ,en,"{2171113090, 740371205, 3878327819, 4197157008, 4063404698, 3265529370, 1369312541, 3636794666, 366814639, 1578298673, 3492235570, 97314360, 594031807, 883852738, 1661324229, 1667680712, 3113984081, 3232887385, 3689716059, 3378575201, 198282088, 2309378792, 426604924}","[287856029, 801636092, 28391068, 197347963, 34148285, 105983457, 71622569, 209745936, 346254982, 191898977]",1,0.6705
40,40,42,45.0,Sun May 02 23:59:59 +0000 2021,1.3890067863306035e+18,   House of Cards  has always hit differently   Happy  th birthday to  s  The Most Beautiful Moment In Life  Young ,en,"{3455063171, 1408802948, 3967006724, 483391110, 3700543625, 4039795597, 3087359374, 2654461199, 4168127759, 2861231762, 4013102741, 1341493658, 3381669283, 4023720613, 4258506290, 3988409267, 3057195459, 894108240, 551611730, 2331417558, 994455896, 1961002976, 623643745, 2798562530, 1833448557, 3036983791, 32399088, 2344914672}","[69277892, 29551887, 9488767, 21443863, 130321830, 53514348, 254008974, 16543469, 67738855, 206036236]",1,0.8357
41,41,43,46.0,Sun May 02 23:59:58 +0000 2021,1.3890067851560264e+18,    King  amp  Prince  CM                    Amazon         net  ,en,"{1692182593, 3764365187, 329416517, 2365083334, 298515942, 2860170186, 3909692303, 1410602704, 3492235570, 4013102741, 2118988342, 2505576891, 3795570136, 68338873, 2366853691, 3754272541}","[252608943, 1083560200, 22729518, 693384970, 39657558, 513295909, 18445678, 105354543, 518807561, 423630587]",1,0.1779
42,42,44,47.0,Sun May 02 23:59:53 +0000 2021,1.3890067617853972e+18,  FREEFORMED HYBRIDS   An interesting sci fi take on the origins of humanity  a fairly original storyline   by   h ,en,"{776935552, 1249790084, 4163653638, 1009865866, 933345808, 1438730388, 2138201493, 1363566229, 828622873, 3144539034, 263621915, 3665686817, 1168226081, 1509342500, 3007358138, 299979322, 2606882119, 4261584460, 1988510028, 2822256338, 4199744729, 803526378, 2447570928, 178943089, 2191630844, 3341416063}","[115508016, 287019430, 134606885, 56436805, 45225339, 205368837, 105809739, 59070, 299223164, 59670591]",1,0.6124
43,43,45,48.0,Sun May 02 23:59:52 +0000 2021,1.3890067589039596e+18,  RT   What if Alien is right  Aren t those eyes the source of all his troubles and injuries  both those visible to the ,en,"{2157541889, 3142482564, 3794349828, 2527468564, 288452500, 2577071128, 1207312026, 648053534, 166844331, 2587353773, 1469684528, 2233440819, 1012247476, 1767824950, 2763888321, 2708837060, 3424269892, 2018598605, 3110861904, 1279248849, 3273698518, 2233487065, 4130200676, 200749668, 221407847, 1571855609, 4193830780, 662904959}","[276703728, 221833732, 164404352, 89582290, 195261399, 21027380, 7711060, 190394830, 118442499, 186680561]",1,-0.4588
44,44,46,49.0,Sun May 02 23:59:51 +0000 2021,1.3890067559679508e+18,  MY NEWEST Luna Lake Cabins entry   standalone  full length novel A Second Kiss for Christmas  Can a ,en,"{2588151681, 3306197252, 2959700364, 326115856, 2657525535, 1021692449, 2115824417, 2961156514, 911972901, 3353314604, 1320332219, 2542058489, 418578367, 2402358731, 3999002330, 3905769565, 945830754, 2194267875, 2122580456, 485317365, 1366011254, 2314522361}","[132074298, 177086220, 53779610, 195893918, 187572853, 41670261, 213605513, 108743981, 46514193, 70220910]",1,0.6249
45,45,47,50.0,Sun May 02 23:59:47 +0000 2021,1.3890067371565466e+18,A product in my  kit   Gaming   About this item  More Information    gigabyte  asus  intel  ,en,"{3709140611, 1937245067, 3707749518, 4013102741, 994378790, 2643796775, 1124371753, 2482818350, 3882490158, 3665192250, 55528255, 2856786624, 1603217351, 320224459, 2683025744, 1393632850, 116413788, 4159966685, 2634444642, 2363481188, 1580322674, 3618999284, 1341749880, 3875630588, 306188927}","[521246611, 83733554, 7188217, 129912067, 34159015, 14367421, 189147811, 156684068, 678238583, 39833948]",1,0.0
46,46,48,51.0,Sun May 02 23:59:47 +0000 2021,1.3890067360367124e+18,Wish you a happy  MothersDay   ,en,"{209108897, 3206867267, 1232332488, 2082239818, 4013102741, 3756281880, 3141877049}","[4604336, 641542246, 114514929, 268478172, 1434799140, 496932507, 1387211215, 326294843, 377330467, 12118628]",1,0.7506
47,47,49,52.0,Sun May 02 23:59:45 +0000 2021,1.3890067284868506e+18, TSLA Watching closely for a breakout from this wedge  A break to the upside can bring                A break under  ,en,"{1258641154, 3017433347, 4258985614, 4013102741, 1730382742, 2261387029, 4169894947, 1647293350, 3431706414, 3084208815, 2283216944, 1177814327, 1795580603, 3250629947, 1197856322, 485348164, 769179845, 44357318, 3437063880, 1979933526, 1398000214, 3489641705, 174511470}","[39284369, 262279880, 241125964, 15947179, 74610247, 78144790, 98949216, 95695649, 14824094, 336918786]",1,0.0
48,48,50,53.0,Sun May 02 23:59:44 +0000 2021,1.389006726020563e+18,   Wishing you Days of sunshine Book   The King s Blade   Book   The King s Spy  ,en,"{1027364994, 3241035527, 1142037897, 4013102741, 219910935, 3626781849, 2041711901, 3079554335, 3044006819, 3813986725, 1629302182, 2408608684, 660911407, 1553499443, 1917247552, 167007824, 3504668265, 392645101, 3949559023, 2068413054}","[207595371, 349179686, 256648076, 3127144, 273121935, 17183407, 54688518, 269956830, 192302209, 79325416]",1,0.6249
