,index,created_at,id,text,language
95,99.0,Sat May 01 23:59:12 +0000 2021,1.3886442047929098e+18,    is back with his latest album   Country Again Side A   A representation of a life lived in recent years    ,en
96,100.0,Sat May 01 23:59:10 +0000 2021,1.3886441934012498e+18,Social Distancing   Self Isolated    Stressed     Learn how to relax with this book  Stress is harmful to your Heal  ,en
97,101.0,Sat May 01 23:59:07 +0000 2021,1.3886441834607534e+18,Now Playing  I m Every Woman by  ChakaKhan Listen Live at  Buy this song here    ,en
98,102.0,Sat May 01 23:59:02 +0000 2021,1.388644160320774e+18, Infinite Wisdom   Infinite Wisdom  II  The Fight Wit  ,en
99,103.0,Sat May 01 23:59:00 +0000 2021,1.3886441531526513e+18,    Ring Light Bundle for           Save     with promo code   RFDK          Seller MUST be  ,en
100,104.0,Sat May 01 23:58:54 +0000 2021,1.3886441292199526e+18,Need to escape from a CoVid world  Try A Second Kiss for Christmas  by our    st  ,en
101,105.0,Sat May 01 23:58:53 +0000 2021,1.3886441243253023e+18, Infinite Wisdom   Infinite Wisdom  II  The Fight Within ,en
102,106.0,Sat May 01 23:58:53 +0000 2021,1.388644123964416e+18,  NOW in Audio  A Christmas Eve in Captain s Point written by  and narrated by  https    ,en
103,107.0,Sat May 01 23:58:47 +0000 2021,1.3886440976200704e+18,acism Is A Public Health Crisis T Shirt BUY HERE  ,en
104,108.0,Sat May 01 23:58:45 +0000 2021,1.3886440919914127e+18, Infinite Wisdom   Infinite Wisdom  II  The Fight Within ,en
105,109.0,Sat May 01 23:58:45 +0000 2021,1.3886440893111583e+18,Source  Check out this Product made for Sports like  Basketball  Football  and  Boxing   the  ,en
106,110.0,Sat May 01 23:58:44 +0000 2021,1.388644087054672e+18,  is back with his latest album   Country Again Side A   A representation of a life lived in recent yea  ,en
107,111.0,Sat May 01 23:58:37 +0000 2021,1.3886440567171643e+18, Why would you buy  NFLX instead of  FB or  AMZN or  GOOG  This doesn t make any sense ,en
108,112.0,Sat May 01 23:58:33 +0000 2021,1.3886440393570427e+18, Infinite Wisdom   Infinite Wisdom  II  The Fight Within ,en
109,113.0,Sat May 01 23:58:30 +0000 2021,1.3886440255492628e+18,  My lowest cost items are for Summer school   colored chalk           left    All items will g  ,en
110,115.0,Fri Apr 30 23:59:53 +0000 2021,1.3882819858655928e+18,  A Harem Boy s Saga  a memoir by Young  a   book series    is a sensually captivating true story ab ,en
111,116.0,Fri Apr 30 23:59:52 +0000 2021,1.3882819825058652e+18,  On February           a dark horde destroyed the city of Sandomierz  Poland  A sole survivor manages to escape  ladened ,en
113,118.0,Fri Apr 30 23:59:51 +0000 2021,1.3882819796368302e+18, No place is as intimate as where you confess your sins  A former nun and a lawyer turned priest strugg  ,en
114,119.0,Fri Apr 30 23:59:42 +0000 2021,1.3882819420853084e+18,  A coming of age story   Four high school friends and a songwriter contest   LA is another world   Hollywood  celebritie ,en
115,120.0,Fri Apr 30 23:59:40 +0000 2021,1.3882819321868902e+18,  Josh Sheppard and the Island of Death New release     Fantasy  bookboost  Auth ,en
117,122.0,Fri Apr 30 23:59:36 +0000 2021,1.388281915489223e+18,    Found it on Amazon  ,en
118,123.0,Fri Apr 30 23:59:30 +0000 2021,1.3882818904995963e+18,Amazon  uk   Stock changed from  In stock   to  Available from these sellers   at                     ,en
119,124.0,Fri Apr 30 23:59:28 +0000 2021,1.3882818807771996e+18,Source    Perfect Doll for a young Afro American girl   Dolls that looks like US  ikuzidolls  ,en
120,125.0,Fri Apr 30 23:59:24 +0000 2021,1.3882818673595064e+18,    mm Apple Watch starting at        open box return with warranty   ,en
121,126.0,Fri Apr 30 23:59:17 +0000 2021,1.388281835231187e+18, If we don t address poor behavior  we re encouraging it through our inaction     Frank Sonnenberg   BookSmart,en
122,127.0,Fri Apr 30 23:59:11 +0000 2021,1.388281811093033e+18, Oh no  We re really sorry to hear this  You should be able to start your return or refund here   ,en
123,128.0,Fri Apr 30 23:59:04 +0000 2021,1.3882817820517376e+18,  Can you pick me up     Retweet   yes   My Spiderman shirt      ,en
124,129.0,Fri Apr 30 23:59:00 +0000 2021,1.3882817646117724e+18,Grab a   pack of LED Ring Lights  get it for           Save     with promo code   FUL     ,en
125,130.0,Fri Apr 30 23:58:54 +0000 2021,1.3882817415599268e+18,  Sonos Playbar Black Works with PS   amp  PS  via TV            Amazon USA  ,en
126,131.0,Fri Apr 30 23:58:39 +0000 2021,1.3882816771102597e+18,  Earthquakes cross the plains in waves  Infrastructure destroyed  Families forced to leave their homes  Beware of the he ,en
127,132.0,Fri Apr 30 23:58:33 +0000 2021,1.3882816518982246e+18,   Incredibly good   Roderick is an exceptionally good example of what a strong laird should be    Heidi Karpen   Goodreads   AM ,en
128,134.0,Fri Apr 30 23:58:25 +0000 2021,1.3882816186583327e+18,     Check out this Amazon deal  Braun Series       cc Pulsonic Shaver System     by Braun  amazon    ,en
129,135.0,Fri Apr 30 23:58:24 +0000 2021,1.3882816146990449e+18,    off  code  EAMBF A   Tub Drain Protector   PCS Bathtub  ad   deals  discount  offer  deal  codes  code  sale,en
130,136.0,Fri Apr 30 23:58:21 +0000 2021,1.3882816032359834e+18,  Spent last    hours looking at European tech stocks  Here s my recommendation on what to buy   FB   AMZN   AAPL   MSFT   GO ,en
131,139.0,Thu Apr 29 19:03:55 +0000 2021,1.3878451163924685e+18,he truth won t suffice  he will have to fight for it   Meet  VakeelSaabOnPrime    ,en
132,140.0,Thu Apr 29 23:59:58 +0000 2021,1.3879196222346772e+18,  Q  Revenue Growth  YoY   Change    Tesla  TSLA         Apple  AAPL         Facebook  FB         Amazon  AMZN         Goo ,en
133,141.0,Thu Apr 29 23:59:57 +0000 2021,1.3879196166058926e+18,  Make your own Burlap Sack suit for the low     gt   ,en
134,142.0,Thu Apr 29 23:59:57 +0000 2021,1.3879196165261926e+18,  Q  Revenue Growth  YoY   Change    Tesla  TSLA         Apple  AAPL         Facebook  FB         Amazon  AMZN         Go ,en
135,143.0,Thu Apr 29 23:59:53 +0000 2021,1.387919601606951e+18,Amazon             Airpods Pro                              pt     AirPods with Charging Cas  ,en
