,index,Unnamed: 0,created_at,id,text,language,spam
19,19,19,Mon May 03 23:59:08 +0000 2021,1.3893689629374136e+18,Have your favorite coffee  amp  tea in the  MAGA mug  ,en,0
20,20,20,Mon May 03 23:59:05 +0000 2021,1.389368947762475e+18,In Stock     Price and stock availability are subject to change daily  Amazon UK affiliate l  ,en,0
21,21,21,Mon May 03 23:59:02 +0000 2021,1.3893689377966858e+18,    Off    Cra Z Art Mini Twist Up Crayons     Count      BwcDeals  DogeDay     ,en,0
22,22,22,Mon May 03 23:59:00 +0000 2021,1.3893689282127503e+18,    Ring Light Bundle for           Save     with promo code   RFDK       Seller MUST be Moo  ,en,0
23,23,23,Mon May 03 23:58:53 +0000 2021,1.3893688999682417e+18, Thanks for that information  You can learn more here    Tenisha,en,0
24,24,24,Mon May 03 23:58:49 +0000 2021,1.3893688832958833e+18,  Have you watched  Powerstar  PawanKalyan s  VakeelSaabOnPrime yet    ICYMI         ,en,0
25,25,25,Mon May 03 23:58:47 +0000 2021,1.3893688758888202e+18,  Just saw this on Amazon  Topmelon Women s Bustier Corset Sexy Girdle Waist Cincher with Garter Belt by TOPMELON for       ,en,0
26,26,26,Mon May 03 23:58:41 +0000 2021,1.3893688483616563e+18,emote Control Cars   RC Car Toys  WD Stunt Car      Rotating Toy CRADREAM    GHz  offers  deals  Amazon  Clip a ex  ,en,0
27,27,27,Mon May 03 23:58:41 +0000 2021,1.3893688480428974e+18,   PRE ORDER   The Great Cleric  Vol    eBook   June     JNC   BOOK WALKER   No ,en,0
28,28,28,Mon May 03 23:58:38 +0000 2021,1.3893688378255196e+18,  Just saw this on Amazon  The Pirate  Bloodlands collection  by Schechter  Harold for        via  ,en,0
29,29,29,Mon May 03 23:58:38 +0000 2021,1.3893688373557084e+18,    o    Check out this Amazon deal   New Release DKnight Magicbox II Bluetooth       by DKnight  amazon    ,en,0
30,30,30,Mon May 03 23:58:35 +0000 2021,1.3893688247477248e+18,Starfinder Adventure Path  Waking the Worldseed      off and part of the big buy one get one half off book sale   ,en,0
31,31,31,Mon May 03 23:58:32 +0000 2021,1.3893688121187123e+18, Thanks for reaching out with your feedback  We accept a variety of payment options  including cred  ,en,0
32,32,32,Mon May 03 23:58:24 +0000 2021,1.3893687767565353e+18,  Just saw this on Amazon  Enemy of the People  The Untold Story of the Journalists Who Opposed Hitler by Petty  Terrence for ,en,0
33,33,33,Mon May 03 23:58:22 +0000 2021,1.3893687708130386e+18,     Tusken Raider      Statue by Kotobukiya    Hurry  Only   LEFT ,en,0
34,34,34,Mon May 03 23:58:22 +0000 2021,1.3893687676002304e+18,,en,0
35,35,35,Mon May 03 23:58:19 +0000 2021,1.389368755571024e+18,  A Die Hard Christmas Gift Set hardcover book with John McClane plush is       on Amazon   ad  ,en,0
36,36,36,Mon May 03 23:58:19 +0000 2021,1.3893687552186532e+18,Capitalize on the Negative Overreaction Towards  ViacomCBS  VIAC    DISCA  NFLX  DIS  AAPL  FOXA  CMCSA  T  VZ  ,en,0
37,37,37,Mon May 03 23:58:18 +0000 2021,1.3893687541825782e+18,DONT MISS THIS DEAL   Massage Gun Deep Tissue Percussion Body Massager for Muscles Handheld Therapy and Relaxation   ,en,0
38,38,38,Mon May 03 23:58:18 +0000 2021,1.3893687541786092e+18,Star Wars Battlefront II price just Dropped Big TIME       starwars  mandalorian ,en,0
39,39,39,Mon May 03 23:58:17 +0000 2021,1.3893687495355146e+18,    May       Canadian Lieutenant  Colonel  MD John  McCrae writes the poem  In Flanders Fields   He wrote the  poem in t ,en,0
40,40,40,Mon May 03 23:58:15 +0000 2021,1.3893687390496522e+18,  pack of LED RGB Flood Lights            Coupon PLUS Save     with promo code   TKHBLS    ,en,0
41,41,41,Mon May 03 23:58:13 +0000 2021,1.3893687315125412e+18,What makes a place   Haunted   Award winning book by Kitty Janusz  Now on Amazon  amp  Kindle  ,en,0
42,45,45,Sun May 02 23:59:59 +0000 2021,1.3890067863306035e+18,   House of Cards  has always hit differently   Happy  th birthday to  s  The Most Beautiful Moment In Life  Young ,en,0
43,46,46,Sun May 02 23:59:58 +0000 2021,1.3890067851560264e+18,    King  amp  Prince  CM                    Amazon         net  ,en,0
44,47,47,Sun May 02 23:59:53 +0000 2021,1.3890067617853972e+18,  FREEFORMED HYBRIDS   An interesting sci fi take on the origins of humanity  a fairly original storyline   by   h ,en,0
45,48,48,Sun May 02 23:59:52 +0000 2021,1.3890067589039596e+18,  RT   What if Alien is right  Aren t those eyes the source of all his troubles and injuries  both those visible to the ,en,0
46,49,49,Sun May 02 23:59:51 +0000 2021,1.3890067559679508e+18,  MY NEWEST Luna Lake Cabins entry   standalone  full length novel A Second Kiss for Christmas  Can a ,en,0
47,50,50,Sun May 02 23:59:47 +0000 2021,1.3890067371565466e+18,A product in my  kit   Gaming   About this item  More Information    gigabyte  asus  intel  ,en,0
48,51,51,Sun May 02 23:59:47 +0000 2021,1.3890067360367124e+18,Wish you a happy  MothersDay   ,en,0
49,52,52,Sun May 02 23:59:45 +0000 2021,1.3890067284868506e+18, TSLA Watching closely for a breakout from this wedge  A break to the upside can bring                A break under  ,en,0
50,53,53,Sun May 02 23:59:44 +0000 2021,1.389006726020563e+18,   Wishing you Days of sunshine Book   The King s Blade   Book   The King s Spy  ,en,0
51,54,54,Sun May 02 23:59:35 +0000 2021,1.389006689567916e+18,Highland Warrior by  is  LIVE     SonsofSinclair  ,en,0
52,55,55,Sun May 02 23:59:33 +0000 2021,1.389006680583676e+18,   Surprise Shawty  I m live   click the link below to indulge in my latest romance suspense read  Happy Release Day to me    ,en,0
53,56,56,Sun May 02 23:59:33 +0000 2021,1.389006678843089e+18,    pack of Shower Caps           Save    with promo code   XFPHKG   ,en,0
54,57,57,Sun May 02 23:59:30 +0000 2021,1.3890066685502587e+18,Frosted Flakes Watch Charger Magnetic Charging Cable for iWatch Portable Wireless Charging Cord Compatible with App  ,en,0
55,58,58,Sun May 02 23:59:28 +0000 2021,1.3890066593605263e+18, We understand your concern  Some items may get shipped separately  To clarify  have we missed the delivery  ,en,0
56,59,59,Sun May 02 23:59:28 +0000 2021,1.389006658421072e+18,  Miitopia  Switch  is       off on Amazon    ad        releases May     You re welcome   ,en,0
57,60,60,Sun May 02 23:59:25 +0000 2021,1.3890066442526638e+18,Fortnite Concept Art  Gear up here    gt    fortnite  gameart ,en,0
58,61,61,Sun May 02 23:59:22 +0000 2021,1.3890066313802957e+18,                get an epiphany                            ,en,0
59,62,62,Sun May 02 23:59:13 +0000 2021,1.38900659742754e+18, Success is a journey  not a destination     Frank Sonnenberg   BookSmart,en,0
60,63,63,Sun May 02 23:59:12 +0000 2021,1.3890065895965532e+18,  Look at the size of this monster dildo    it felt so good  Loved every inch of it  New video on my onlyfans   ,en,0
61,64,64,Sun May 02 23:59:07 +0000 2021,1.3890065703783877e+18,Now Playing  Money Talks by  ACDC Listen Live at  Buy this song here    ,en,0
62,65,65,Sun May 02 23:59:06 +0000 2021,1.3890065669306614e+18,  ad  Funko Pop  Disney  Cruella  Cruella in Black Dress   Cruella in Red Dress  ,en,0
63,66,66,Sun May 02 23:59:04 +0000 2021,1.3890065567971e+18,   Lightning Deal    Bread Slippers for             off    ,en,0
64,67,67,Sun May 02 23:59:02 +0000 2021,1.3890065473811003e+18,   I completely understand local restrictions  I don t shotguns are bad  ,en,0
65,69,69,Sun May 02 23:59:01 +0000 2021,1.3890065450658488e+18,  Monster Hunter Chibi Plush pre orders  Amazon    ad        Play Asia          ,en,0
66,70,70,Sun May 02 23:59:00 +0000 2021,1.389006540535894e+18,STEAL      pack of LED Video Photo Lighting Kit            Save     with promo code   FDUL     ,en,0
67,71,71,Sun May 02 23:58:55 +0000 2021,1.3890065197154345e+18,  My Mexican slaves  Goddess needs cheering up    ,en,0
68,72,72,Sun May 02 23:58:55 +0000 2021,1.3890065186624922e+18,Amazon  airpods max                    Monitored at           ,en,0
69,73,73,Sun May 02 23:58:53 +0000 2021,1.3890065120734167e+18,  RT  amp  follow  for the chance to WIN this Amazon exclusive Art Series Bambi Pop  Not feeling lucky  Pre orde ,en,1
70,74,74,Sun May 02 23:58:53 +0000 2021,1.3890065098504397e+18,  Super Mario Odyssey  Switch  physical and digital releases are both        right now  Amazon   GameS ,en,0
71,75,75,Sun May 02 23:58:49 +0000 2021,1.3890064932283392e+18, if you don t have an ice maker ,en,0
72,76,76,Sun May 02 23:58:47 +0000 2021,1.389006486236541e+18,Lightning Offer BAGAIL Microfiber Towel Perfect Sports  amp  Travel  amp  Beach Towel  Fast Drying At only       instead of  ,en,0
73,77,77,Sun May 02 23:58:41 +0000 2021,1.3890064628574904e+18,    May       England s King Henry VIII has his former wife Anne  Boleyn arrested for high  treason  She is sent to the T ,en,0
74,78,78,Thu Apr 29 19:00:02 +0000 2021,1.387844140403204e+18,he truth won t suffice  he will have to fight for it   Meet  VakeelSaabOnPrime now    ,en,0
75,79,79,Sat May 01 23:59:55 +0000 2021,1.3886443837974856e+18,  Animal Crossing  New Horizons   Timmy  amp  Tommy   Nintendo Switch Lite Skin is       on Amazon   ad https ,en,0
76,80,80,Sat May 01 23:59:55 +0000 2021,1.3886443833612206e+18,Check out this book   A Very Dangerous Woman  The Lives  Loves and Lies of Russia s Most Seductive Spy  by Deborah  ,en,0
77,81,81,Sat May 01 23:59:55 +0000 2021,1.3886443831011615e+18, Infinite Wisdom   Infinite Wisdom  II  The Fight With  ,en,0
78,82,82,Sat May 01 23:59:53 +0000 2021,1.3886443772753797e+18,Liberty and Justice for All T Shirt BUY HERE   BlackLivesMatter   BlackTwitter ,en,0
79,83,83,Sat May 01 23:59:52 +0000 2021,1.3886443725399736e+18,  Destroy All Humans  DNA Collector s Edition  PC  is        on Amazon  MSRP            ad  ,en,0
80,84,84,Sat May 01 23:59:48 +0000 2021,1.3886443545631334e+18, Infinite Wisdom   Infinite Wisdom  II  The Fight Within ,en,0
81,85,85,Sat May 01 23:59:46 +0000 2021,1.3886443441402716e+18,      Ring Light Bundle for           Save     with promo code   RFDK          Seller MUST be MoonLak ,en,0
